station_id,code,name,station_type,basin_id,basin_code,basin_name,total_records,first_record,last_record,present_combo_count,expected_combo_count,coverage_pct,missing_count
b733a005-e048-40db-be0d-1c3c31f3799c,19,Bni Haitem,Station hydrologique,1e2160e9-139b-48b9-a7e9-72cf3e96bd62,5,lebene,3143,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00,2,4,50.0,2
3907b326-38b6-402d-a29d-0277f8a1b012,20,Boufellou,Station hydrologique,3645c19b-971f-495f-9b17-1f1693b8340e,1,Ouergha,2980,2025-12-15T00:00:00+00:00,2026-02-20T10:00:00+00:00,2,4,50.0,2
2d5bb3a7-63cf-4d33-a081-89f1ceb9127b,21,Boured,Station hydrologique,3645c19b-971f-495f-9b17-1f1693b8340e,1,Ouergha,3142,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00,2,4,50.0,2
7ef56ec6-8898-4afe-9dca-806ca1e217b0,60,BRG AIT MOULAY AHMED,Barrage,4c5512f7-2c9a-4d63-b88a-ad66d081a615,3,beht,0,n/a,n/a,0,8,0.0,8
be2624ff-7da2-4c63-88be-ce7b21cb0208,58,BRG ETTINE,Barrage,784737e1-f7bd-4823-9df6-de41df7bdc3b,2,bas sebou,3139,2025-12-15T00:00:00+00:00,2026-02-20T10:00:00+00:00,2,8,25.0,6
82c117ea-4186-452c-89f4-a74034238bf3,61,BRG MAKRACH,Barrage,1e2160e9-139b-48b9-a7e9-72cf3e96bd62,5,lebene,3133,2025-12-15T00:00:00+00:00,2026-02-20T08:00:00+00:00,2,8,25.0,6
e194bacc-23ab-481d-bad1-2c7e5ea9072c,59,BRG SEHB ELMARGA,Barrage,45d0b242-2fe0-48ee-9570-bb012e936c28,4,Haut Sebou,1162,2025-12-15T00:00:00+00:00,2026-02-04T23:00:00+00:00,1,8,12.5,7
85931069-f178-437a-8601-f2c80521a98a,57,Confluence ouergha sebou,point resultats,3645c19b-971f-495f-9b17-1f1693b8340e,1,Ouergha,0,n/a,n/a,0,0,100.0,0
95e951db-475b-485a-bd1c-2c8a13196bcb,56,Confluence Sebou aval,point resultats,784737e1-f7bd-4823-9df6-de41df7bdc3b,2,bas sebou,0,n/a,n/a,0,0,100.0,0
7bc1d9da-da25-4407-892f-ed8cfe7eeb25,49,Dar El Arsa,Station hydrologique,45d0b242-2fe0-48ee-9570-bb012e936c28,4,Haut Sebou,3116,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00,2,4,50.0,2
bf80fe7c-6a10-4c39-b027-28aa2ce5d0a3,22,Dar El Hamra,Station hydrologique,45d0b242-2fe0-48ee-9570-bb012e936c28,4,Haut Sebou,3024,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00,2,4,50.0,2
cd5473c5-ffe4-493f-8d05-a76ff3aba0fa,23,Dar Salem,Station hydrologique,784737e1-f7bd-4823-9df6-de41df7bdc3b,2,bas sebou,3140,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00,2,4,50.0,2
73a59639-83f1-4858-a156-ed7437988770,24,El Hammam,Station hydrologique,4c5512f7-2c9a-4d63-b88a-ad66d081a615,3,beht,3140,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00,2,4,50.0,2
dc8702ed-b4f6-4c12-9963-5887891f739d,25,El Malha,Station hydrologique,3645c19b-971f-495f-9b17-1f1693b8340e,1,Ouergha,3077,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00,2,4,50.0,2
67dd82e5-5d99-4ba8-a668-241ca7db0f99,26,El Mers,Station hydrologique,45d0b242-2fe0-48ee-9570-bb012e936c28,4,Haut Sebou,3142,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00,2,4,50.0,2
827cb524-d155-45cd-94fe-19c43068b5ec,27,Fes(ABHS),Poste Pluviométrique,45d0b242-2fe0-48ee-9570-bb012e936c28,4,Haut Sebou,1522,2025-12-15T00:00:00+00:00,2026-02-16T10:00:00+00:00,1,2,50.0,1
92eee75d-8edc-4809-8fb4-d7952dbbb396,28,Galaz,Station hydrologique,3645c19b-971f-495f-9b17-1f1693b8340e,1,Ouergha,2455,2025-12-15T00:00:00+00:00,2026-02-17T16:00:00+00:00,2,4,50.0,2
2863f5e1-c7db-4d93-b92b-b2d5abcb566f,29,Had Kourt,Station hydrologique,784737e1-f7bd-4823-9df6-de41df7bdc3b,2,bas sebou,3143,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00,2,4,50.0,2
c9868413-5bbd-4d83-9bdd-79bb738f746f,30,Hajria,Station hydrologique,3645c19b-971f-495f-9b17-1f1693b8340e,1,Ouergha,3143,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00,2,4,50.0,2
bb71e0a9-7f57-476b-9338-00d5ddc86767,31,Jbel Outka,Poste Pluviométrique,3645c19b-971f-495f-9b17-1f1693b8340e,1,Ouergha,1481,2025-12-15T00:00:00+00:00,2026-02-16T10:00:00+00:00,1,2,50.0,1
